bjdongCode,bjdongSigungu,dongName
1111010100,11110,청운동
1111010200,11110,신교동
1111010300,11110,궁정동
1111010400,11110,효자동
1111010500,11110,창성동
1111010600,11110,통의동
1111010700,11110,적선동
1111010800,11110,통인동
1111010900,11110,누상동
1111011000,11110,누하동
1111011100,11110,옥인동
1111011200,11110,체부동
1111011300,11110,필운동
1111011400,11110,내자동
1111011500,11110,사직동
1111011600,11110,도렴동
1111011700,11110,당주동
1111011800,11110,내수동
1111011900,11110,세종로
1111012000,11110,신문로1가
1111012100,11110,신문로2가
1111012200,11110,청진동
1111012300,11110,서린동
1111012400,11110,수송동
1111012500,11110,중학동
1111012600,11110,종로1가
1111012700,11110,공평동
1111012800,11110,관훈동
1111012900,11110,견지동
1111013000,11110,와룡동
1111013100,11110,권농동
1111013200,11110,운니동
1111013300,11110,익선동
1111013400,11110,경운동
1111013500,11110,관철동
1111013600,11110,인사동
1111013700,11110,낙원동
1111013800,11110,종로2가
1111013900,11110,팔판동
1111014000,11110,삼청동
1111014100,11110,안국동
1111014200,11110,소격동
1111014300,11110,화동
1111014400,11110,사간동
1111014500,11110,송현동
1111014600,11110,가회동
1111014700,11110,재동
1111014800,11110,계동
1111014900,11110,원서동
1111015000,11110,훈정동
1111015100,11110,묘동
1111015200,11110,봉익동
1111015300,11110,돈의동
1111015400,11110,장사동
1111015500,11110,관수동
1111015600,11110,종로3가
1111015700,11110,인의동
1111015800,11110,예지동
1111015900,11110,원남동
1111016000,11110,연지동
1111016100,11110,종로4가
1111016200,11110,효제동
1111016300,11110,종로5가
1111016400,11110,종로6가
1111016500,11110,이화동
1111016600,11110,연건동
1111016700,11110,충신동
1111016800,11110,동숭동
1111016900,11110,혜화동
1111017000,11110,명륜1가
1111017100,11110,명륜2가
1111017200,11110,명륜4가
1111017300,11110,명륜3가
1111017400,11110,창신동
1111017500,11110,숭인동
1111017600,11110,교남동
1111017700,11110,평동
1111017800,11110,송월동
1111017900,11110,홍파동
1111018000,11110,교북동
1111018100,11110,행촌동
1111018200,11110,구기동
1111018300,11110,평창동
1111018400,11110,부암동
1111018500,11110,홍지동
1111018600,11110,신영동
1111018700,11110,무악동
1114010100,11140,무교동
1114010200,11140,다동
1114010300,11140,태평로1가
1114010400,11140,을지로1가
1114010500,11140,을지로2가
1114010600,11140,남대문로1가
1114010700,11140,삼각동
1114010800,11140,수하동
1114010900,11140,장교동
1114011000,11140,수표동
1114011100,11140,소공동
1114011200,11140,남창동
1114011300,11140,북창동
1114011400,11140,태평로2가
1114011500,11140,남대문로2가
1114011600,11140,남대문로3가
1114011700,11140,남대문로4가
1114011800,11140,남대문로5가
1114011900,11140,봉래동1가
1114012000,11140,봉래동2가
1114012100,11140,회현동1가
1114012200,11140,회현동2가
1114012300,11140,회현동3가
1114012400,11140,충무로1가
1114012500,11140,충무로2가
1114012600,11140,명동1가
1114012700,11140,명동2가
1114012800,11140,남산동1가
1114012900,11140,남산동2가
1114013000,11140,남산동3가
1114013100,11140,저동1가
1114013200,11140,충무로4가
1114013300,11140,충무로5가
1114013400,11140,인현동2가
1114013500,11140,예관동
1114013600,11140,묵정동
1114013700,11140,필동1가
1114013800,11140,필동2가
1114013900,11140,필동3가
1114014000,11140,남학동
1114014100,11140,주자동
1114014200,11140,예장동
1114014300,11140,장충동1가
1114014400,11140,장충동2가
1114014500,11140,광희동1가
1114014600,11140,광희동2가
1114014700,11140,쌍림동
1114014800,11140,을지로6가
1114014900,11140,을지로7가
1114015000,11140,을지로4가
1114015100,11140,을지로5가
1114015200,11140,주교동
1114015300,11140,방산동
1114015400,11140,오장동
1114015500,11140,을지로3가
1114015600,11140,입정동
1114015700,11140,산림동
1114015800,11140,충무로3가
1114015900,11140,초동
1114016000,11140,인현동1가
1114016100,11140,저동2가
1114016200,11140,신당동
1114016300,11140,흥인동
1114016400,11140,무학동
1114016500,11140,황학동
1114016600,11140,서소문동
1114016700,11140,정동
1114016800,11140,순화동
1114016900,11140,의주로1가
1114017000,11140,충정로1가
1114017100,11140,중림동
1114017200,11140,의주로2가
1114017300,11140,만리동1가
1114017400,11140,만리동2가
1117010100,11170,후암동
1117010200,11170,용산동2가
1117010300,11170,용산동4가
1117010400,11170,갈월동
1117010500,11170,남영동
1117010600,11170,용산동1가
1117010700,11170,동자동
1117010800,11170,서계동
1117010900,11170,청파동1가
1117011000,11170,청파동2가
1117011100,11170,청파동3가
1117011200,11170,원효로1가
1117011300,11170,원효로2가
1117011400,11170,신창동
1117011500,11170,산천동
1117011600,11170,청암동
1117011700,11170,원효로3가
1117011800,11170,원효로4가
1117011900,11170,효창동
1117012000,11170,도원동
1117012100,11170,용문동
1117012200,11170,문배동
1117012300,11170,신계동
1117012400,11170,한강로1가
1117012500,11170,한강로2가
1117012600,11170,용산동3가
1117012700,11170,용산동5가
1117012800,11170,한강로3가
1117012900,11170,이촌동
1117013000,11170,이태원동
1117013100,11170,한남동
1117013200,11170,동빙고동
1117013300,11170,서빙고동
1117013400,11170,주성동
1117013500,11170,용산동6가
1117013600,11170,보광동
1120010100,11200,상왕십리동
1120010200,11200,하왕십리동
1120010300,11200,홍익동
1120010400,11200,도선동
1120010500,11200,마장동
1120010600,11200,사근동
1120010700,11200,행당동
1120010800,11200,응봉동
1120010900,11200,금호동1가
1120011000,11200,금호동2가
1120011100,11200,금호동3가
1120011200,11200,금호동4가
1120011300,11200,옥수동
1120011400,11200,성수동1가
1120011500,11200,성수동2가
1120011800,11200,송정동
1120012200,11200,용답동
1121510100,11215,중곡동
1121510200,11215,능동
1121510300,11215,구의동
1121510400,11215,광장동
1121510500,11215,자양동
1121510700,11215,화양동
1121510900,11215,군자동
1123010100,11230,신설동
1123010200,11230,용두동
1123010300,11230,제기동
1123010400,11230,전농동
1123010500,11230,답십리동
1123010600,11230,장안동
1123010700,11230,청량리동
1123010800,11230,회기동
1123010900,11230,휘경동
1123011000,11230,이문동
1126010100,11260,면목동
1126010200,11260,상봉동
1126010300,11260,중화동
1126010400,11260,묵동
1126010500,11260,망우동
1126010600,11260,신내동
1129010100,11290,성북동
1129010200,11290,성북동1가
1129010300,11290,돈암동
1129010400,11290,동소문동1가
1129010500,11290,동소문동2가
1129010600,11290,동소문동3가
1129010700,11290,동소문동4가
1129010800,11290,동소문동5가
1129010900,11290,동소문동6가
1129011000,11290,동소문동7가
1129011100,11290,삼선동1가
1129011200,11290,삼선동2가
1129011300,11290,삼선동3가
1129011400,11290,삼선동4가
1129011500,11290,삼선동5가
1129011600,11290,동선동1가
1129011700,11290,동선동2가
1129011800,11290,동선동3가
1129011900,11290,동선동4가
1129012000,11290,동선동5가
1129012100,11290,안암동1가
1129012200,11290,안암동2가
1129012300,11290,안암동3가
1129012400,11290,안암동4가
1129012500,11290,안암동5가
1129012600,11290,보문동4가
1129012700,11290,보문동5가
1129012800,11290,보문동6가
1129012900,11290,보문동7가
1129013000,11290,보문동1가
1129013100,11290,보문동2가
1129013200,11290,보문동3가
1129013300,11290,정릉동
1129013400,11290,길음동
1129013500,11290,종암동
1129013600,11290,하월곡동
1129013700,11290,상월곡동
1129013800,11290,장위동
1129013900,11290,석관동
1130510100,11305,미아동
1130510200,11305,번동
1130510300,11305,수유동
1130510400,11305,우이동
1132010500,11320,쌍문동
1132010600,11320,방학동
1132010700,11320,창동
1132010800,11320,도봉동
1135010200,11350,월계동
1135010300,11350,공릉동
1135010400,11350,하계동
1135010500,11350,상계동
1135010600,11350,중계동
1138010100,11380,수색동
1138010200,11380,녹번동
1138010300,11380,불광동
1138010400,11380,갈현동
1138010500,11380,구산동
1138010600,11380,대조동
1138010700,11380,응암동
1138010800,11380,역촌동
1138010900,11380,신사동
1138011000,11380,증산동
1138011400,11380,진관동
1141010100,11410,충정로2가
1141010200,11410,충정로3가
1141010300,11410,합동
1141010400,11410,미근동
1141010500,11410,냉천동
1141010600,11410,천연동
1141010700,11410,옥천동
1141010800,11410,영천동
1141010900,11410,현저동
1141011000,11410,북아현동
1141011100,11410,홍제동
1141011200,11410,대현동
1141011300,11410,대신동
1141011400,11410,신촌동
1141011500,11410,봉원동
1141011600,11410,창천동
1141011700,11410,연희동
1141011800,11410,홍은동
1141011900,11410,북가좌동
1141012000,11410,남가좌동
1144010100,11440,아현동
1144010200,11440,공덕동
1144010300,11440,신공덕동
1144010400,11440,도화동
1144010500,11440,용강동
1144010600,11440,토정동
1144010700,11440,마포동
1144010800,11440,대흥동
1144010900,11440,염리동
1144011000,11440,노고산동
1144011100,11440,신수동
1144011200,11440,현석동
1144011300,11440,구수동
1144011400,11440,창전동
1144011500,11440,상수동
1144011600,11440,하중동
1144011700,11440,신정동
1144011800,11440,당인동
1144012000,11440,서교동
1144012100,11440,동교동
1144012200,11440,합정동
1144012300,11440,망원동
1144012400,11440,연남동
1144012500,11440,성산동
1144012600,11440,중동
1144012700,11440,상암동
1147010100,11470,신정동
1147010200,11470,목동
1147010300,11470,신월동
1150010100,11500,염창동
1150010200,11500,등촌동
1150010300,11500,화곡동
1150010400,11500,가양동
1150010500,11500,마곡동
1150010600,11500,내발산동
1150010700,11500,외발산동
1150010800,11500,공항동
1150010900,11500,방화동
1150011000,11500,개화동
1150011100,11500,과해동
1150011200,11500,오곡동
1150011300,11500,오쇠동
1153010100,11530,신도림동
1153010200,11530,구로동
1153010300,11530,가리봉동
1153010600,11530,고척동
1153010700,11530,개봉동
1153010800,11530,오류동
1153010900,11530,궁동
1153011000,11530,온수동
1153011100,11530,천왕동
1153011200,11530,항동
1154510100,11545,가산동
1154510200,11545,독산동
1154510300,11545,시흥동
1156010100,11560,영등포동
1156010200,11560,영등포동1가
1156010300,11560,영등포동2가
1156010400,11560,영등포동3가
1156010500,11560,영등포동4가
1156010600,11560,영등포동5가
1156010700,11560,영등포동6가
1156010800,11560,영등포동7가
1156010900,11560,영등포동8가
1156011000,11560,여의도동
1156011100,11560,당산동1가
1156011200,11560,당산동2가
1156011300,11560,당산동3가
1156011400,11560,당산동4가
1156011500,11560,당산동5가
1156011600,11560,당산동6가
1156011700,11560,당산동
1156011800,11560,도림동
1156011900,11560,문래동1가
1156012000,11560,문래동2가
1156012100,11560,문래동3가
1156012200,11560,문래동4가
1156012300,11560,문래동5가
1156012400,11560,문래동6가
1156012500,11560,양평동1가
1156012600,11560,양평동2가
1156012700,11560,양평동3가
1156012800,11560,양평동4가
1156012900,11560,양평동5가
1156013000,11560,양평동6가
1156013100,11560,양화동
1156013200,11560,신길동
1156013300,11560,대림동
1156013400,11560,양평동
1159010100,11590,노량진동
1159010200,11590,상도동
1159010300,11590,상도1동
1159010400,11590,본동
1159010500,11590,흑석동
1159010600,11590,동작동
1159010700,11590,사당동
1159010800,11590,대방동
1159010900,11590,신대방동
1162010100,11620,봉천동
1162010200,11620,신림동
1162010300,11620,남현동
1165010100,11650,방배동
1165010200,11650,양재동
1165010300,11650,우면동
1165010400,11650,원지동
1165010600,11650,잠원동
1165010700,11650,반포동
1165010800,11650,서초동
1165010900,11650,내곡동
1165011000,11650,염곡동
1165011100,11650,신원동
1168010100,11680,역삼동
1168010300,11680,개포동
1168010400,11680,청담동
1168010500,11680,삼성동
1168010600,11680,대치동
1168010700,11680,신사동
1168010800,11680,논현동
1168011000,11680,압구정동
1168011100,11680,세곡동
1168011200,11680,자곡동
1168011300,11680,율현동
1168011400,11680,일원동
1168011500,11680,수서동
1168011800,11680,도곡동
1171010100,11710,잠실동
1171010200,11710,신천동
1171010300,11710,풍납동
1171010400,11710,송파동
1171010500,11710,석촌동
1171010600,11710,삼전동
1171010700,11710,가락동
1171010800,11710,문정동
1171010900,11710,장지동
1171011100,11710,방이동
1171011200,11710,오금동
1171011300,11710,거여동
1171011400,11710,마천동
1174010100,11740,명일동
1174010200,11740,고덕동
1174010300,11740,상일동
1174010500,11740,길동
1174010600,11740,둔촌동
1174010700,11740,암사동
1174010800,11740,성내동
1174010900,11740,천호동
1174011000,11740,강일동
2611010100,26110,영주동
2611010200,26110,대창동1가
2611010300,26110,대창동2가
2611010400,26110,중앙동1가
2611010500,26110,중앙동2가
2611010600,26110,중앙동3가
2611010700,26110,중앙동4가
2611010800,26110,중앙동5가
2611010900,26110,중앙동6가
2611011000,26110,중앙동7가
2611011100,26110,동광동1가
2611011200,26110,동광동2가
