bjdongCode,hjdongCode
1111010100,11010720
1111010200,11010720
1111010300,11010720
1111010400,11010720
1111010500,11010720
1111010600,11010530
1111010700,11010530
1111010800,11010720
1111010900,11010720
1111011000,11010720
1111011100,11010720
1111011200,11010530
1111011300,11010530
1111011400,11010530
1111011500,11010530
1111011600,11010530
1111011700,11010530
1111011800,11010530
1111011900,11010530
1111011900,11010610
1111011900,11010720
1111012000,11010530
1111012100,11010530
1111012200,11010610
1111012300,11010610
1111012400,11010610
1111012500,11010610
1111012600,11010610
1111012700,11010610
1111012800,11010610
1111012900,11010610
1111013000,11010610
1111013000,11010730
1111013100,11010610
1111013200,11010610
1111013300,11010610
1111013400,11010610
1111013500,11010610
1111013600,11010610
1111013700,11010610
1111013800,11010610
1111013900,11010540
1111014000,11010540
1111014100,11010540
1111014200,11010540
1111014300,11010540
1111014400,11010540
1111014500,11010540
1111014600,11010600
1111014700,11010600
1111014800,11010600
1111014900,11010600
1111015000,11010610
1111015100,11010610
1111015200,11010610
1111015300,11010610
1111015400,11010610
1111015500,11010610
1111015600,11010610
1111015700,11010610
1111015800,11010610
1111015900,11010610
1111016000,11010630
1111016100,11010610
1111016200,11010630
1111016300,11010630
1111016400,11010630
1111016500,11010640
1111016600,11010640
1111016700,11010630
1111016800,11010640
1111016900,11010730
1111017000,11010730
1111017100,11010730
1111017200,11010730
1111017300,11010730
1111017400,11010670
1111017400,11010680
1111017400,11010690
1111017500,11010700
1111017500,11010710
1111017600,11010580
1111017700,11010580
1111017800,11010580
1111017900,11010580
1111018000,11010580
1111018100,11010580
1111018200,11010560
1111018300,11010560
1111018400,11010550
1111018500,11010550
1111018600,11010550
1111018700,11010570
1114010100,11020550
1114010200,11020550
1114010300,11020550
1114010400,11020550
1114010500,11020550
1114010600,11020550
1114010700,11020550
1114010800,11020550
1114010900,11020550
1114011000,11020550
1114011100,11020520
1114011200,11020540
1114011300,11020520
1114011400,11020520
1114011500,11020520
1114011500,11020550
1114011600,11020520
1114011600,11020540
1114011700,11020520
1114011700,11020540
1114011800,11020540
1114011900,11020520
1114011900,11020540
1114012000,11020540
1114012100,11020540
1114012100,11020550
1114012200,11020540
1114012200,11020550
1114012300,11020550
1114012400,11020540
1114012400,11020550
1114012500,11020550
1114012600,11020550
1114012700,11020550
1114012800,11020550
1114012900,11020550
1114013000,11020550
1114013100,11020550
1114013200,11020570
1114013200,11020590
1114013300,11020570
1114013300,11020590
1114013400,11020590
1114013500,11020590
1114013600,11020570
1114013600,11020580
1114013700,11020570
1114013800,11020570
1114013900,11020570
1114014000,11020570
1114014100,11020570
1114014200,11020550
1114014200,11020570
1114014300,11020580
1114014400,11020570
1114014400,11020580
1114014500,11020590
1114014600,11020590
1114014700,11020590
1114014800,11020590
1114014900,11020590
1114015000,11020600
1114015100,11020600
1114015200,11020600
1114015300,11020600
1114015400,11020590
1114015500,11020600
1114015600,11020600
1114015700,11020600
1114015800,11020570
1114015900,11020600
1114016000,11020600
1114016100,11020600
1114016200,11020650
1114016200,11020690
1114016200,11020700
1114016200,11020710
1114016200,11020720
1114016200,11020730
1114016300,11020690
1114016400,11020690
1114016500,11020670
1114016600,11020520
1114016700,11020520
1114016800,11020520
1114016800,11020540
1114016900,11020520
1114017000,11020520
1114017100,11020680
1114017200,11020680
1114017300,11020680
1114017400,11020680
1117010100,11030510
1117010200,11030520
1117010300,11030520
1117010400,11030530
1117010500,11030530
1117010600,11030530
1117010700,11030530
1117010800,11030710
1117010900,11030710
1117011000,11030710
1117011100,11030710
1117011200,11030720
1117011300,11030720
1117011400,11030570
1117011500,11030570
1117011600,11030570
1117011700,11030570
1117011800,11030570
1117011900,11030580
1117012000,11030590
1117012100,11030590
1117012200,11030720
1117012300,11030720
1117012400,11030730
1117012500,11030730
1117012600,11030730
1117012700,11030730
1117012800,11030730
1117012900,11030630
1117012900,11030640
1117013000,11030650
1117013000,11030660
1117013100,11030740
1117013200,11030690
1117013300,11030690
1117013400,11030690
1117013500,11030690
1117013600,11030700
1120010100,11040710
1120010200,11040520
1120010200,11040710
1120010300,11040710
1120010400,11040710
1120010500,11040540
1120010600,11040550
1120010700,11040550
1120010700,11040560
1120010700,11040570
1120010800,11040580
1120010900,11040590
1120011000,11040720
1120011100,11040720
1120011200,11040620
1120011300,11040730
1120011400,11040650
1120011400,11040660
1120011500,11040670
1120011500,11040680
1120011800,11040690
1120011800,11040700
1120012200,11040700
1121510100,11050550
1121510100,11050560
1121510100,11050570
1121510100,11050580
1121510200,11050590
1121510300,11050600
1121510300,11050610
1121510300,11050620
1121510400,11050630
1121510500,11050640
1121510500,11050650
1121510500,11050660
1121510500,11050670
1121510700,11050530
1121510900,11050540
1123010100,11060810
1123010200,11060810
1123010300,11060820
1123010400,11060830
1123010400,11060840
1123010500,11060860
1123010500,11060910
1123010600,11060870
1123010600,11060880
1123010700,11060800
1123010800,11060710
1123010900,11060720
1123010900,11060730
1123011000,11060890
1123011000,11060900
1126010100,11070520
1126010100,11070540
1126010100,11070550
