kosisCode7,hjdongCode8,name
1101056,11010560,평창동
1105064,11050640,자양1동
2231014,22510140,유가읍
2231036,22510360,구지면
2301052,23010520,연안동
2301053,23010530,신포동
2301054,23010540,신흥동
2301056,23010560,도원동
1105065,11050650,자양2동
2301057,23010570,율목동
2301058,23010580,동인천동
2301067,23010670,개항동
2301067,23010670,개항동
2301065,23010650,영종동
2301066,23010660,영종1동
2301063,23010630,용유동
2301064,23010640,운서동
1105066,11050660,자양3동
2302051,23020510,만석동
2302052,23020520,화수1·화평동
2302053,23020530,화수2동
2302055,23020550,송현1·2동
2302057,23020570,송현3동
2302058,23020580,송림1동
2302059,23020590,송림2동
2302060,23020600,송림3·5동
2302061,23020610,송림4동
2302063,23020630,송림6동
2302064,23020640,금창동
2309075,23090750,숭의1·3동
2309052,23090520,숭의2동
2309054,23090540,숭의4동
2309076,23090760,용현1·4동
2309056,23090560,용현2동
2309057,23090570,용현3동
2309059,23090590,용현5동
2309060,23090600,학익1동
2309061,23090610,학익2동
2309062,23090620,도화1동
2309077,23090770,도화2·3동
2309065,23090650,주안1동
2309066,23090660,주안2동
2309067,23090670,주안3동
1106081,11060810,용신동
2309068,23090680,주안4동
2309069,23090690,주안5동
2309070,23090700,주안6동
2309071,23090710,주안7동
2309072,23090720,주안8동
2309073,23090730,관교동
2309074,23090740,문학동
2304051,23040510,옥련1동
2304060,23040600,옥련2동
2304052,23040520,선학동
2304053,23040530,연수1동
2304054,23040540,연수2동
2304055,23040550,연수3동
2304056,23040560,청학동
2304057,23040570,동춘1동
2304058,23040580,동춘2동
2304064,23040640,송도1동
2304065,23040650,송도3동
2304066,23040660,송도2동
2304059,23040590,동춘3동
2305051,23050510,구월1동
2305052,23050520,구월2동
2305053,23050530,구월3동
2305054,23050540,구월4동
2305055,23050550,간석1동
2305056,23050560,간석2동
1106082,11060820,제기동
2305057,23050570,간석3동
2305058,23050580,간석4동
2305059,23050590,만수1동
2305060,23050600,만수2동
2305061,23050610,만수3동
2305062,23050620,만수4동
2305063,23050630,만수5동
2305064,23050640,만수6동
2305075,23050750,장수서창동
2305067,23050670,남촌도림동
2305072,23050720,논현1동
2305073,23050730,논현2동
2305074,23050740,논현고잔동
2306051,23060510,부평1동
2306052,23060520,부평2동
2306053,23060530,부평3동
2306054,23060540,부평4동
2306055,23060550,부평5동
1101057,11010570,무악동
1106083,11060830,전농1동
2306056,23060560,부평6동
2306057,23060570,산곡1동
2306058,23060580,산곡2동
2306059,23060590,산곡3동
2306060,23060600,산곡4동
2306061,23060610,청천1동
2306062,23060620,청천2동
2306063,23060630,갈산1동
2306064,23060640,갈산2동
2306065,23060650,삼산1동
1106084,11060840,전농2동
2306072,23060720,삼산2동
2306066,23060660,부개1동
2306067,23060670,부개2동
2306068,23060680,부개3동
2306069,23060690,일신동
2306070,23060700,십정1동
2306071,23060710,십정2동
2307051,23070510,효성1동
2307052,23070520,효성2동
2307053,23070530,계산1동
2307054,23070540,계산2동
2307055,23070550,계산3동
2307062,23070620,계산4동
2307056,23070560,작전1동
2307057,23070570,작전2동
2307058,23070580,작전서운동
2307063,23070630,계양1동
2307064,23070640,계양3동
2307061,23070610,계양2동
2308051,23080510,검암경서동
2308053,23080530,연희동
2308054,23080540,가정1동
2308055,23080550,가정2동
2308056,23080560,가정3동
2308073,23080730,신현원창동
2308074,23080740,청라1동
1106091,11060910,답십리1동
2308078,23080780,청라2동
2308079,23080790,청라3동
2308058,23080580,석남1동
2308059,23080590,석남2동
2308060,23080600,석남3동
2308062,23080620,가좌1동
2308063,23080630,가좌2동
2308064,23080640,가좌3동
2308065,23080650,가좌4동
2308080,23080800,검단동
