sourceCode,targetCode,mappingType,ratio,description
11010560,11010560,UNCHANGED,1.0,
11050640,11050640,UNCHANGED,1.0,
22510140,22510140,UNCHANGED,1.0,
22510360,22510360,UNCHANGED,1.0,
23010520,23010520,UNCHANGED,1.0,
23010530,23010530,UNCHANGED,1.0,
23010540,23010540,UNCHANGED,1.0,
23010560,23010560,UNCHANGED,1.0,
11050650,11050650,UNCHANGED,1.0,
23010570,23010570,UNCHANGED,1.0,
23010580,23010580,UNCHANGED,1.0,
23010670,23010670,UNCHANGED,1.0,
23010670,23010670,UNCHANGED,1.0,
23010650,23010650,UNCHANGED,1.0,
23010660,23010681,RENAMED,1.0,코드변경 23010660→23010681
23010630,23010630,UNCHANGED,1.0,
23010640,23010640,UNCHANGED,1.0,
11050660,11050660,UNCHANGED,1.0,
23020510,23020510,UNCHANGED,1.0,
23020520,23020520,UNCHANGED,1.0,
23020530,23020530,UNCHANGED,1.0,
23020550,23020550,UNCHANGED,1.0,
23020570,23020570,UNCHANGED,1.0,
23020580,23020580,UNCHANGED,1.0,
23020590,23020590,UNCHANGED,1.0,
23020600,23020600,UNCHANGED,1.0,
23020610,23020610,UNCHANGED,1.0,
23020630,23020630,UNCHANGED,1.0,
23020640,23020640,UNCHANGED,1.0,
23090750,23090750,UNCHANGED,1.0,
23090520,23090520,UNCHANGED,1.0,
23090540,23090540,UNCHANGED,1.0,
23090760,23090760,UNCHANGED,1.0,
23090560,23090560,UNCHANGED,1.0,
23090570,23090570,UNCHANGED,1.0,
23090590,23090590,UNCHANGED,1.0,
23090600,23090600,UNCHANGED,1.0,
23090610,23090610,UNCHANGED,1.0,
23090620,23090620,UNCHANGED,1.0,
23090770,23090770,UNCHANGED,1.0,
23090650,23090650,UNCHANGED,1.0,
23090660,23090660,UNCHANGED,1.0,
23090670,23090670,UNCHANGED,1.0,
11060810,11060810,UNCHANGED,1.0,
23090680,23090680,UNCHANGED,1.0,
23090690,23090690,UNCHANGED,1.0,
23090700,23090700,UNCHANGED,1.0,
23090710,23090710,UNCHANGED,1.0,
23090720,23090720,UNCHANGED,1.0,
23090730,23090730,UNCHANGED,1.0,
23090740,23090740,UNCHANGED,1.0,
23040510,23040510,UNCHANGED,1.0,
23040600,23040600,UNCHANGED,1.0,
23040520,23040520,UNCHANGED,1.0,
23040530,23040530,UNCHANGED,1.0,
23040540,23040540,UNCHANGED,1.0,
23040550,23040550,UNCHANGED,1.0,
23040560,23040560,UNCHANGED,1.0,
23040570,23040570,UNCHANGED,1.0,
23040580,23040580,UNCHANGED,1.0,
23040640,23040640,UNCHANGED,1.0,
23040650,23040650,UNCHANGED,1.0,
23040660,23040660,UNCHANGED,1.0,
23040590,23040590,UNCHANGED,1.0,
23050510,23050510,UNCHANGED,1.0,
23050521,23050521,UNCHANGED,1.0,
23050530,23050530,UNCHANGED,1.0,
23050540,23050540,UNCHANGED,1.0,
23050550,23050550,UNCHANGED,1.0,
23050561,23050561,UNCHANGED,1.0,
11060820,11060820,UNCHANGED,1.0,
23050570,23050570,UNCHANGED,1.0,
23050580,23050580,UNCHANGED,1.0,
23050590,23050590,UNCHANGED,1.0,
23050600,23050600,UNCHANGED,1.0,
23050610,23050610,UNCHANGED,1.0,
23050620,23050620,UNCHANGED,1.0,
23050630,23050630,UNCHANGED,1.0,
23050640,23050640,UNCHANGED,1.0,
23050750,23050750,UNCHANGED,1.0,
23050670,23050670,UNCHANGED,1.0,
23050720,23050720,UNCHANGED,1.0,
23050730,23050730,UNCHANGED,1.0,
23050740,23050740,UNCHANGED,1.0,
23060510,23060510,UNCHANGED,1.0,
23060520,23060520,UNCHANGED,1.0,
23060530,23060530,UNCHANGED,1.0,
23060540,23060540,UNCHANGED,1.0,
23060550,23060550,UNCHANGED,1.0,
11010570,11010570,UNCHANGED,1.0,
11060830,11060830,UNCHANGED,1.0,
23060560,23060560,UNCHANGED,1.0,
23060570,23060570,UNCHANGED,1.0,
23060580,23060580,UNCHANGED,1.0,
23060590,23060590,UNCHANGED,1.0,
23060600,23060600,UNCHANGED,1.0,
23060610,23060610,UNCHANGED,1.0,
23060620,23060620,UNCHANGED,1.0,
23060630,23060630,UNCHANGED,1.0,
23060640,23060640,UNCHANGED,1.0,
23060650,23060650,UNCHANGED,1.0,
11060840,11060840,UNCHANGED,1.0,
23060720,23060720,UNCHANGED,1.0,
23060660,23060660,UNCHANGED,1.0,
23060670,23060670,UNCHANGED,1.0,
23060680,23060680,UNCHANGED,1.0,
23060690,23060690,UNCHANGED,1.0,
23060700,23060700,UNCHANGED,1.0,
